"paraphrase_id","itemid","paraphrase_count","paraphrase","paraphrase_date","issue_id"
"22","13","1","Vsevolod Lobko (sevik) asked for samples of 
minimal client using dbdriver interface, using Python rather than 
GNUe Forms. He explained I can do simple queries 
for one object. I need to do master/detail query. 
Derek Neighbors (derek) pointed him to  

http://lxr.gnue.org/gnue/source/reports/src/, but added
its not a 'simple' little sample :)
He suggested asking Jason Cater.","2001-10-30","2"
"23","13","2","
The next day, Jason said that to get master-detail to work, 
the attributes had to be present in the datasource 
before the initialize() [...] if set after the initialize, 
the datasource doesn't know to transfer it. 
Vsevolod said this seemed to be what the problem was, but he didn't think 
it was very logical. Jason said currently, most of our 
tools don't use GDataSource directly, but subclass it... all of the subclassed 
GDataSources automatically handle this during init - but if it always happens, 
then it should happen at the most basic level :).","2001-10-30","2"
"24","13","3","Daniel Baumann (danielb) asked if that was how triggers were supposed to 
work - this would correlate with GEAS too 
then. He wanted to work on a library to 
do plugins for various languages starting with python. Vsevolod 
asked for TCL support, either ITCL (the official implementation) or XOTCL 
(with dynamic classes). He gave some examples of embedding using TCL.","2001-10-30","2"
"25","14","1","It was asked whether the GNUe team had looked at the 

any-gui initiative. James Thompson (jamest) thought it looked 
interesting, but wanted to know what kind of license was involved. 
Reinhard Müller (reinhard) asked what the difference was from wxWindows.
James said any-gui supports curses. 
It was explained that any-gui will load the GUI toolkit that was
available on the platform, even dropping back to a text based 
question and answer session if necessary.","2001-10-31","2"
"26","15","1","Reinhard Müller (reinhard) used the words 
zip and 
state in an example. 
Jeff Bailey (jbailey) asked if this would be changed to postal code and 
province in Canada. Reinhard confirmed that I 
am the localization police for this project. Dmitry Sorokin 
(ra3vat) would be even harder, as he needs cyrillic. Neil Tiffin (neilt) 
knew a very small spattering of traditional chinese 
and might be able to test.","2001-10-31","2"
"27","16","1","James Thompson (jamest) asked Andrew Hill (andru) if he had been  
working on his user interface for GNUe Application Server (GEAS). 
Andrew said he had re-written bits of GEAS as 
it was doing bizarre things to my records. James said 
that GEAS had had a major overhaul, with more work planned. Andrew
said there was very little GEAS code left in his re-write. 
It was 2-tier with an Object Orientated wrapper but could easily 
be made 3-tier. It's about 4000 times faster 
than geas and it doesn't shag my data James said the major 
issue with GEAS was the use of temporary tables while building query 
structures, which seemed like major overkill.","2001-11-01","2"
"28","16","2","Andrew said his code was a database abstraction layer which could be 
slid in as a straight replacement for GEAS. Daniel Baumann (chillywilly)
pointed out that a db abstraction layer is 
not an app server. Andrew admitted his code was effectively a 
fat client, but I don't mind have a 3mb libary 
on every client. Vsevolod Lobko (sevik) asked 
what about thin clients and forcing business 
rules in server? Loading methods in the client would force all 
client applications to be in the same language. The 
website implied that Andrew's code 
only worked on plain one table selects or updates, and supported postgresql 
only.","2001-11-01","2"
"29","16","3","Daniel reckoned that the current GEAS was far too slow and 
the whole caching design is lame as hell - 
you need multiple caches. He thought the 
parser internal stuctures should also use GObject system 
which would allow you to change it on the fly.","2001-11-01","2"
"30","16","4","Vsevolod downloaded the source for BOND 0.0.8 from the 
website - he didn't think much 
of the code quality.","2001-11-01","2"
"31","17","1","Jason Cater (jcater) announced that transactional 
support is in the gnue-common mysql driver now (and is used by 
default if mysql-server was compiled w/transactional support).
Oh, yeah... and we work w/the MySQL 4.0 release.","2001-11-02","2"
"32","18","1","It was suggested that the GNUe model could be generalised by 
adding an investor interface. Charles Rouzer (Mr_You) said 
you could customise GNUe to fit any business model - 
generally an investor only needs prepared 
reports AFAIK.","2001-11-02","2"
"33","19","1","It was asked when the GNUe Project Management module would be started.
Charles Rouzer (Mr_You) suggested dcl.sf.net, 
saying derek has also created GNUe screens to DCL's 
database tables.","2001-11-02","2"
"34","20","1","James Thompson (jamest) asked whether it was time to promote 
GNUe Forms, GNUe Common and GNUe Designer to version 0.1.0. 
The patches to GNUe Common for the GNUe Application Server 
(GNUe Common versions 0.1.1 onwards) could then be done without having 
to re-release GNUe Forms and Designer each time - 
right now they are a package deal. 
Jason Cater (jcater) agreed.","2001-11-03","2"
"35","21","1","James Thompson (jamest) and Jason Cater (jcater) were working on GNUe 
Designer. James was having problems with mouse drag and drop - the event 
system couldn't keep up with the movement. Meanwhile, Jason had some 
queries about what level to handle errors at. He also simplified the 
format for ODBC - I'm going to make the 
provider='odbc' and take all the special meaning out of it. 
There was a general discussion about what jobs on GNUe needed 
doing next. Jason noted that GNUe Forms is now crashing on duplicate primary 
keys. Also, if you have an update and an insert, if the insert fails it 
will also rollback the update. James said this would be fixed in later
versions of 0.1.x","2001-11-04","2"
"36","22","1","Andrew Mitchell (ajmitch) said he was trying to convince his parents to 
switch to OpenOffice for their business. However, they used MS Access quite 
a bit for simple databases. These could be written in GNUe Forms instead, 
but they need a nice graphical DB designer 
tho.","2001-11-05","2"
"37","23","1","Andrew Mitchell (ajmitch) asked if there was an 
opportunity for someone like me to help out? Reinhard Müller 
(reinhard) said first of all you would want to 
understand the basic structure. Then you would pick a part of the code 
where you are not satisfied (I promise there will be such parts) and improve 
it. Andrew said he could look at the Methods code.","2001-11-05","2"
"38","23","2","Later, Andrew asked Daniel Baumann 
how incomplete is the methods code? Daniel said it was
not really incomplete per se, but it does not work 
how we want it to work... Python and C are handled, but 
we need a plugin system for various languages 
and code to allow you to mix and match at the class level.","2001-11-05","2"
"39","24","1","Further to , 
Reinhard Müller (reinhard) confirmed that he and Neil Tiffin
(neilt) had subsequently agreed to remove the READONLY keyword. Also, in 
, 
Andrew Murie himself told us he is not happy with that
sort of ""manual"" profiling and that we would probably do better
by removing it. That would be done in the next few days. Later on,
Jason Cater (jcater) clarified that, in 
, 
Michael Dean was talking about a new release on his DCL project (which GNUe 
is working with).","2001-11-05","2"
"40","24","2","
The next day, Perry Lorier (Isomer) commented on the use of square 
brackets for the nicks, and pointed out nowhere on 
the page (that I could see) did it mention the network or the channel name
. Oops! Now fixed.. 
Andrew Mitchell (ajmitch) noted that the GNUe Kernel Cousin was now linked 
from linuxtoday.com. Perry asked 
can you get gnuebot to put the occasional <a 
name=""ts""> into the channel logs? So you can put the links on 
the KC page to go direct to the start of the conversation? Later, 
Andrew noted that 1358 people had already read KC on linuxtoday. This had 
driven traffic to the www.gnuenterprise.org website, which was 
peaking at 15000 today. Derek Neighbors 
(derek) said this was comparable to the traffic peaks on a new release day - 
GNUe normally averages 3500 - 5000 hits 
a day.","2001-11-05","2"
"41","24","3","
Another day on, Derek said he had a log to 
html converter. This lead to a general discussion about how to mark 
topics/threads in an IRC log, and the differences between e-mail lists and 
IRC.","2001-11-05","2"
"42","25","1","James Thompson (jamest) said he would like someone to write a 
GTK-specific driver for GNUe Forms - he intended to write a QT-specific one 
himself, and I'd rather have a windows app look 
like a windows app on windows machines. Reinhard Müller (reinhard) 
agreed, and even said 
we might want a native 
windows forms client. Andrew Mitchell (ajmitch) thought that was 
a bit too much code duplication.
Reinhard replied that there shouldn't be too 
much intelligence in forms for n-tier. But Jason Cater (jcater) 
pointed out that GNUe Forms would always be 2-tier as well as n-tier. 
Reinhard agreed, but said that the n-tier version could be different from 
the 2-tier version. The fact that James had previously described GNUe Forms 
as a ""reference implementation"" of a forms client implied there 
would be other clients as well in the future.","2001-11-05","2"
"43","25","2","James said the reason for talking about clients other than GNUe Forms was 
because I never see it running on things like Palm 
pilots. Whilst he was not against people creating specific clients 
for Windows 32-bit platforms written in the language 
of the week., he thought GNUe Forms works 
pretty well. (As a side issue, Jason Cater (jcater) noted that 
wx and python run on PalmPilots, prompting 
James to ask for one for ""testing"" 
purposes :).)","2001-11-05","2"
"44","25","3","Derek Neighbors (dneighbo) said that having 
to install cygwin, x, etc to get gtk to 'work' is not having gtk 'work' on 
windows. It was effectively installing UNIX on top of Windows - 
which is an UNDUE prerequisite IMHO. 
He was keen for James to do a QT driver, 
but actually would rather see you look at making wxQT instead of just adding 
native qt support to forms. James said that was a major project - 
much easier to write a gnuef UI wrapper to QT
. Derek agreed, but thought this would be not 
as good for community.","2001-11-05","2"
"45","26","1","Charles Rouzer (Mr_You) asked whether Bayonne could be configured as 
a fax firewall - I hate fax spamming more 
than email spam. Derek Neighbors (dneighbo) said he was considering 
setting up an anti solicitor service 
with Bayonne, matching caller ID against a list of known accepted users. 
Bayonne did not handle faxing yet, but it was being worked on.","2001-11-05","2"
"46","27","1","James Thompson (jamest) suggested agreeing roadmap files for each 
project. The strategy for future version numbers was discussed. 
James said the GNUe team needed to finish the GNUe Application Server 
(GEAS) driver for 0.1.x, then move on to 
finish ""conditional"" support, basic gcomm support, 
trigger system, gsetup system, anything else Derek
Neighbor's (dneighbo) quick list, after some discussion about 
triggers, was:","2001-11-05","2"
"47","27","2","James said the major issue was the User Interface (UI) rewrite, 
as so much else is dependant on this. Although triggers were probably 
more important technically, the new UI would be huge marketing - 
as I think people would almost get naughty 
pleasures from running the same form on their win boxen, web site, 
vt320 terminals Derek agreed, but said 
The simple fact is we need applications. 
One usable good solid app will do more than any number of ui options 
will. I'm half tempted to say one of the main focuses should be get 
one or more apps out. We all have some 'internal' stuff but I mean 
something useful and distributable.","2001-11-05","2"
"48","27","3","Jason Cater (jcater) suggested doing the UI rewrite for GNUe Forms 
0.3.0, and adding triggers for GNUe Common 0.3.0. James said these 
could then be folded together into GNUe 1.0.0. Jason also mentioned 
that the forms specific language needed standardising. Daniel Baumann 
(chillywilly) pointed out that the idea 
was to have a plugin system for various langauges. Jason said 
that adding more languagues might not be a priority. Daniel agreed, 
but said that setting up support for multiple languages in the 
future was important.","2001-11-05","2"
"49","27","4","Jason thought GNUe Designer needs to be 
more generalized so it could do report definitions as well. 
It also needed a better debug system. James would have liked it to 
do more introspection of data 
sources - the ability to query a database for table names, column 
names and basic schemas. Jason said that at the time GNUe had 
introspection support for postgres (and 
maybe Oracle).","2001-11-05","2"
"50","27","5","James said GNUe could do record locking via 
select for update in the db drivers or something more complex
. This might link to cross-database transaction support, 
but that's way down the line. 
Daniel said this should be in GNUe Application Server instead. 
Derek said that abstractions like transactions should be in GNUe 
Common so that n-tier and 2-tier could both use them.","2001-11-05","2"
"51","28","1","When asked if users could have multiple windows open 
at once, James Thompson (jamest) said 
the forms client can be open as many times as you like, 
and forms can launch other forms. Jason Cater (jcater) said 
it does support multiple ""pages"" if 
your data doesn't fit on one screen but even then, only one page can be 
visible at once. Derek Neighbors (dneighbo) said that 
historically curses based systems did this 
all via menus and I think most gui apps continued this tradition 
This way, the top level menus were 'modules' 
so to speak and the detail menus were 'processes'. Of course this is how 
'security was enforced' as well - either you had access to a menu option 
or you didn't. Not that he was suggesting a curses-style 
interface, just a similar 'effect' - 
tabs or something else.","2001-11-05","2"
"52","28","2","Jason also pointed out that we are trying to 
be UI independent. Daniel Baumann (chillywilly) said this was 
done by using XML, which could be displayed on anything. James said that 
the same form definition could be used on Windows, Macintosh, UNIX, and 
web users and possibly palm-pilot :)
You could also use old amber-screen text-only screens. A single user might 
have wanted to use full GUI, text-only telnet access or web-based depending 
on where they were and what they were doing. Also, users could work off-line
with a snapshot of the data.","2001-11-05","2"
"53","28","3","
The next day, Perry Lorier (Isomer) asked is 
there a HTML frontend? Jason said we don't 
have a functioning version available yet. Later, Daniel added 
madlocke was supposed to have done some 
work on that but we have seen no code for it. 

Another day on, James said I think if we 
don't hear anything by the weekend we'll call it a loss :( 
Charles Rouzer (Mr_You) thought the team should 
still make one or two more attempts to at least 
get the code and look at it.. I could hack at it, or learn from it.
","2001-11-05","2"
"54","29","1","James Thompson (jamest) said GNUe was initially targetted at small to 
medium businesses, but eventually I think we'll 
be able to handle rather large systems. It would be user-friendly - 
so the monkey on the phone could fill in 
the blanks. Jason Cater (jcater) said GNUe was aimed at 
putting the Free back into Free Enterprise.","2001-11-05","2"
"55","29","2","Jason said that the problem with other enterprise systems was that 
they are tied into proprietary systems... 
we work with MANY, MANY systems. James said the aim was to 
Stop letting overpriced consultants sell you 
overpriced solutions that require overpriced customizations. We're all for 
consultants as some of us do that for a living but we're trying to keep them 
honest. If you don't like your current gnue consultant you can find another one. 
If you don't like the way gnue works you can change it and in doing so NOT buy me 
a new BMW. Although this could be seen as quite a heavy 
thing to put on the user,  Daniel Baumann (chillywilly) said 
this is true for all Free Software. 
Derek Neighbors (dneighbo) gave the example of Nautilus, where the company went 
out of business, but the product lives on w/o the 
company. James said that the idea is that 
if you don't like your consultant (s)he doesn't own the code, or the regional 
rights to the code. Anyone code savy can tweak the system.","2001-11-05","2"
"56","29","3","Derek said there would be nothing to stop a company hiring a GNUe consultant
and have them create a system for their business, but they could also
just use the base system or just devlop it 
internally. We plan to offer packages/modules that are like 'shrink wrap' so 
someone can walk up and use out of the box. In our experience we find FEW companies 
work this way. They have 'little quirks' on how they want things or they want it 
integrated elsewhere etc. That is where the 'consultant' role comes in. 
James expanded Eventually we'll have a clearing house 
of packages so you can just grab something close someone else has made and tweak it 
to your liking.","2001-11-05","2"
"57","29","4","Jason said that the idea is they will be as integrated 
as possible yet be able to be used independently. For example, you would 
just usesupply chain, if you were already happy with your non-GNUe accounting 
system. Derek said GNUe hoped to become like a SAP, covering all business 
processes. Jason emphasised that we are really 
two projects in one: 1) A complete architecture for implementing 
business apps and 2) a set of packages that implement business apps.
Someone could do an educational management system using our 
architecture (rather easily, as a matter of fact), but this may 
not be a ""business process"" so to speak.","2001-11-05","2"
"58","29","5","With respect to the time taken to do all of this, 
James said We've got the time :) Gnue isn't a rapidly 
developing project but she's too damn stubborn to die.","2001-11-05","2"
"59","30","1","Perry Lorier (Isomer) asked What backend do you 
guys recommend? Jason Cater (jcater) said we 
work with all major backends but of course we must recommend a free one 
:) - he preferred postgresql. Michael Dean (mdean) mentioned 
mysql, but Jason and Perry were not keen 
on it.","2001-11-06","2"
"60","31","1","Jason Cater (jcater) said I think we need a solid 
(few paragraph) description of GNUe on home page. Derek Neighbors 
(derek) went further - we need a new homepage
. He continued I think there is still 
HUGE value in a 'business news site' that is concentrated on free software 
i.e. a free software business portal but the basic information about 
GNUe needed to be more prominent.","2001-11-06","2"
"61","31","2","
The next day, Reinhard Müller commented that the old static 
homepage and single mailing list had been replaced with a 
hyper super dynamic homepage 
and a set of 15 seperate mailing lists, neither of which had attracted 
much traffic.","2001-11-06","2"
"62","32","1","Daniel Baumann (chillywilly) asked why 
don't we use libgda for all data access? Jason Cater (jcater) 
said I don't think it was ready when we were 
ready, but was not sure of the history. Later, Daniel noted that libGDA 
had 25 dependencies according to apt,
which might have been a factor.","2001-11-06","2"
"63","33","1","Peter Sullivan (psu) had received an e-mail from someone who has 
persuaded a large private company to GPL 
its HR/Payroll system and who was interested in working with GNUe. 
Derek Neighbors (dneighbo) said to forward him to info@gnue.org, but 
warned there were often problems in such cases with incompatible 
architectures or use of non-free componants. Peter said we could use 
GNUe Integrator if architecture was an issue. In response to queries, 
Derek explained that Integrator is a GNUe 
Tool that will allow you to merge disparate data. Work has yet 
to start on it, but it would build an XML definition of the two sources 
and visually match one field to another, applying rules. It would be run 
in either batch mode or real time.","2001-11-07","2"
"64","34","1","Peter Sullivan (psu) said that a local ASP had just gone under, and their clients
were feeling nervous. If they were using a GNUe 
Application Service Provider they could switch tomorrow. 
Derek Neighbors said I think nautilus is a shining 
example of how in free software world a good product lives even if its company dies
. He continued obviously one could use GNUe for 
an ASP, but its not something we intend to encourage much. Peter said he 
didn't think GNUe early adopters were likely to be ASP clients anyway. 
Derek said the problem with ASP is you lose control of your upgrade process. ASP
was attractive to vendors because its easier to 'control' 
the customer. Peter said that was why free as in 
speech is more important than free as in beer for GNUe. Derek said that 
ASP was more risky, because ASPs were more likely to be the target of crackers, 
even if their security is better theoritically.","2001-11-07","2"
"65","35","1","Derek Neighbors (dneighbo) said I was going 
to compile a comprehensive list of report objects which woudl translate to 
tags/attributes for XML. Derek gave some examples. Jason Cater said his 
and Michael Dean's ideas had been similar, they had just used different 
terminology. Derek said he had used Quickreports, but would welcome input from 
people who had used packages like Crystal Reports as well, to 
see what's missing, what's stupid. At this 
stage, this was reference material, not a proposal. Later, he admitted 
the part I'm torn on is we have two phases - 
pre data population, post data population - some of these are needed pre 
and some post and some both. It was not clear whether items like 
page numbers and orientation should be part of the XML, as they were 
display-dependant.","2001-11-08","3"
"66","36","1","Michael Dean (mdean) reported a conversation he had had with Derek 
Neighbors (dneighbo) on another channel. He had asked if 
GNUe is to be language independent, how will you implement triggers? 
Derek said that there had been a lot of discussion about this. He remembered 
the thing we all agreed on was that we want to make 
a trigger/event system that is shared by the appserver and forms. 
Michael suggested XML. Derek said this had been discussed, but 
 it just didnt sit right in fleshing it out
. Later on, he pointed people to 

http://lxr.gnue.org/gnue/source/gnue-common/doc/TriggerSpecifications.txt for more details.","2001-11-08","3"
"67","36","2","Later, Daniel Baumann (chillywilly) said his proposed plugin system would 
remove this issue. Jason Cater (jcater) said this was different - 
we have to have a common way inside those languages to 
identify our objects. Daniel suggested GObject 
bindings ;). Jason later remarked however 
we maintain our object references, we have to answer the question
of how will the objects be represented in the language's namespace and how 
will those references tie back into the forms, geas, or reports 
instance? He liked the look of GObjects, however. Perry Lorier (Isomer) 
suggested for a v1.0 release, python only bindings 
IMHO is perfectly fine.  Add perl, php, C, C++, scheme, visual basic bindings 
for v2.0 and rev quickly :)","2001-11-08","3"
"68","36","3","James Thompson (jamest) pointed out that you could not store a GObject in a
database. He said GDataObject is IIRC the 
starting point of our data aware system. Daniel asked if this 
meant re-implementing GNUe Application Server (GEAS) in GNUe Forms 
- GEAS is essentially GObject and 
GDataObject if you really think about it.","2001-11-08","3"
"69","36","4","
Two days later, Derek (derek) suggested supporting spidermonkey. 
Michael supported this, since it would make GNUe 
web forms triggers almost no-brainer. Derek clarified 
the idea was to make it so each development house 
wouldnt have to learn a 'new language' but could use their personal 
preference - our base packages will be python 
triggers but we want to let any language be used. If someone had an 
exisiting system in, say, perl, it might be easier to 
reuse a good portion of my code in gnue as well as not have curve of learning 
python. Jason pointed out that if someone 
is simply wanting to extend our packages, they wouldn't have to rewrite the base 
in their language - they could mix and match.","2001-11-08","3"
"70","36","5","
The next day, Nick Rusnov (nickr) confirmed that xml 
is used heavily throughout gnue. Perry Lorier (Isomer) said 
no databases support XML transactions - 
apart from Microsoft SQL Server 2000, as Michael Dean (mdean) pointed out. 
Reinhard Müller (reinhard) said we are doing xml 
from database in the reports module. They had 
looked at the xml query language from the gnome-db 
project and we decided to stick with SQL for the db access because SQL is 
sufficiently standardized and supported natively by virtually every db.","2001-11-08","3"
"71","37","1","James Thompson (jamest) said they were doing a new release this weekend, 
and wanted to include madlocke's code. Michael Maluck (madlocke) said he 
needed to discuss a few problems first. His postgres wasn't asking for a 
password, as it had not been set up that way - he suggested having a 
UILoginHandler in a base class or as base class
. James agreed. Michael said the UI code can 
display most things... the last I did was data exchange... some things 
work... buttons work....","2001-11-09","3"
"72","37","2","
Three days later, in a discussion about Webware, Derek Neighbors (derek) 
said they were looking to use webware for UI 
driver [...] that madlocke is working on. GNUe Forms is designed 
work with any user interface that there is a driver written for. 
Now the killer thing is if you use something 
python based you can use all underlying objects and just reimplement 
the driver.","2001-11-09","3"
"73","37","3","
The next day, Michael said he hadn't been able to commit his code yet, 
as he was having to use WinCVS to checkout 
and was getting conversion problems with carridge returns/line feeds. Derek 
(dneighbo) asked him to e-mail the code. Michael said there was a problem, in 
that the only relation between labels and entries is 
position on screen. Derek said we should be 
autocreating the lable based off a property 
of entry.","2001-11-09","3"
"74","38","1","Dmitry Sorokin (ra3vat) asked do I need separate 
driver or something to use gnuef with mysql, both on windows? 
Jason Cater (jcater) said I don't think the mysql 
drivers work on win32 without modification. Later, Derek Neighbors
(derek) said he wasn't sure that the mysql 
drivers for windows 'native' had ever been tested - the generic 
Windows ODBC drivers had been tested, but a long time ago. Dmitry was 
also having problems with using GNUe Forms with postgres on Windows. 
Derek wondered if this was a TCP/IP probelm. Jason and Dmitry swapped 
error messages and the set-up information in an attempt to solve the 
problem.","2001-11-10","3"
"75","39","1","Derek Neighbors (derek) said the scoop is we 
have some one graciously paying a developer to work on gnue in lithuania 
now.","2001-11-11","3"
"76","39","2","
Two days later, Derek said that now we had a full-time developer.
we REALLY need dcl 
- especially if we get college interns.","2001-11-11","3"
"77","39","3","
The next day, James Thompson suggested some things 
intern and full timers could do, both new tasks and current.","2001-11-11","3"
"78","40","1","Daniel Baumann (chillywilly) asked if 
GNUe would benefit from using the XForms W3C standard. 
Charles Rouzer (Mr_You) it probably 
wouldn't be hard to integrate X-Forms clients at somepoint, or redo 
GNUe Forms to use X-Forms methods instead.","2001-11-12","3"
"79","40","2","Later, Daniel asked if X-Forms was feature 
filled enough to be used for GNUe Forms Definition 
(gfd) format. James Thompson (jamest) said it had 
too much complexity for our target 
application. Derek Neighbors (derek) said 
It's standard in sense its submitted 
to a 'standards body' but no-one was using it. Daniel 
replied that mozilla was 
implementing it. Derek said he liked XUL, but did not 
think it fits with what we are 
doing.","2001-11-12","3"
